Packet,Power Setpoint (kW),Dwell Time (s),mean_value,mean_MovAvgValue,skew_value,skew_MovAvgValue,std_value,std_MovAvgValue,BeadNumber
18,2.1,0,169.51653543307086,169.42732283464568,0.3042706599675748,-0.14562628620574392,20.720118142472558,5.813327899574086,2
18,2.1,15,161.24306569343065,161.19383578431373,0.32667045889481444,0.6391040783420329,16.393169289553086,5.450977770559875,2
19,2.1,15,160.7345238095238,160.855,0.247956980040273,-0.5252898088372234,20.241776518823155,6.1750854830432464,2
19,2.1,30,171.07444444444445,170.9562849162011,0.08376002167908338,-2.008760484382008,23.36548837871076,8.700381231700044,2
20,2.1,30,176.975,176.4255,0.3407569697780032,-0.36678756793835393,20.890406950658054,5.975090150591232,2
20,2.1,60,168.06545454545454,168.24795281582954,0.2560995847020095,-0.23740732288033678,18.776306046243942,5.992702762434052,2
21,1.5,0,175.39454545454547,175.44831811263316,-0.002805051256960808,-0.1567543608340647,15.357727288361321,5.627331484175673,3
21,1.5,15,173.645,173.22089743589743,0.18003992923406442,-1.6274048062322337,37.90006393337413,11.519227498859903,3
22,1.5,15,178.0343195266272,177.94242603550296,-0.03453431503704557,1.5294741814549975,18.123419626790184,6.002969208434557,3
22,1.5,30,175.56703296703296,175.11127777777776,-0.1790234588201151,-1.787498963792428,18.604521881312465,6.987827199274206,3
23,1.5,30,177.06,177.52924,0.3802571890460704,1.8677108792318888,14.757933896830743,4.967155594502748,3
23,1.5,60,178.83333333333334,178.82552238805968,-0.18675127924515975,-1.780241109773719,17.689831803997784,5.430832209582108,3
24,1.5,60,175.4679012345679,175.5483744855967,-0.7313411928438253,-1.1204450477027117,16.159361274200272,6.581803725124539,3
24,1.8,0,162.3463687150838,162.2641947565543,0.005707885679889636,-0.4142729594869778,15.364632731923047,6.840756633978492,3
25,1.8,0,165.59,165.524625,-0.416831892845467,-0.6067687304312073,16.2993597483192,4.679067870614881,3
25,1.8,15,163.9115207373272,163.96966820987655,0.02555513120807146,-2.6318893773645127,18.259355947598355,9.101808012768108,3
25,1.8,30,170.23333333333332,179.36666666666665,-1.6434927416185767,,31.820957454692238,12.916483869674297,3
26,1.8,30,175.0626168224299,175.2014953271028,-0.08189406461582595,-1.5384640845892468,16.50295761436415,5.47189501703413,3
26,1.8,60,164.42391304347825,163.7405925925926,0.018761392168370975,-1.2142757548236196,31.05732466679861,12.035697624883253,3
27,1.8,60,165.9757225433526,165.98751445086705,-0.05160591139263423,-0.5319661194467256,17.13092505455837,5.318041381464095,3
27,2.1,0,169.19885057471262,168.9901937984496,-0.1637532308800824,-0.8864629153144531,20.40865921016082,9.582725755398448,3
28,2.1,0,170.6323076923077,170.63107692307693,-0.32567998117705055,-0.7271906721919212,14.714445864995865,7.013436522454751,3
28,2.1,15,162.0476923076923,161.83830729166667,-0.5901003456983555,-1.4084374956593373,16.460293852268887,9.501555336106343,3
29,2.1,15,158.09176470588235,158.5109411764706,0.2330108623429961,-0.6267745811679947,16.346670053828678,7.746134884654449,3
29,2.1,30,175.2702857142857,175.3087164750958,-0.25411808501472444,-0.33603410700056624,21.884745840256194,7.7595253878969705,3
30,2.1,30,172.5285714285714,174.0990476190476,-0.7495451596987159,-1.541983102250795,21.540639817866747,10.979055350435237,3
30,2.1,60,172.03640552995392,172.2952237654321,0.05345908996444853,-1.544986883888628,18.496651648478284,6.4082226279552525,3
31,1.5,0,173.00366972477065,173.03029185867896,-0.041959055377653716,-0.9292777760699821,14.683834972939987,4.5020850241449075,4
31,1.5,15,171.0,170.87472222222223,0.1939409159844124,-1.3260527112471807,20.251889976470043,6.083063853221235,4
32,1.5,15,175.16256983240223,175.05240223463687,0.1760098568296236,-0.06983935547131621,13.663779565352531,3.269626019777866,4
32,1.5,30,176.08292682926827,176.22746913580247,-0.34330064239454094,-1.0247819952690416,16.895998539197233,5.287678359948883,4
33,1.5,30,176.7485294117647,176.6954411764706,0.33956632269140674,-1.0260492862687915,15.961546315577124,3.1838916014599974,4
33,1.5,60,175.33120000000002,175.3894623655914,-0.023598906976745014,-1.8127278402718656,16.292296893456008,4.94766805430874,4
34,1.5,60,177.0141304347826,177.07559782608695,0.1256433621349642,-0.9413088195031643,14.37593059785099,4.210369384384489,4
34,1.8,0,160.8958579881657,160.65746031746033,-0.14057865805977948,-0.8131771828666948,16.59837325301427,5.956596755580804,4
35,1.8,0,166.60238095238097,166.90011904761906,-0.13929142141516404,-0.29840789872486084,14.839211209318044,2.878843875352167,4
35,1.8,15,164.4375,164.42328660436138,-0.17050954185685502,-3.153762777961674,16.09813310713027,7.044388921837334,4
35,1.8,30,196.03333333333333,190.46666666666664,-1.7108015289397456,,35.41106230167819,7.872455497210214,4
36,1.8,30,177.1348623853211,177.35451834862386,-0.010641295864346862,0.17462791555874657,13.963292074471969,4.190978831822715,4
36,1.8,60,162.76511627906976,163.07873015873017,-0.3522061951046414,-1.0947821750440967,19.80099665265712,11.680583690040656,4
37,1.8,60,167.90742857142857,167.9288,0.11119568437072792,0.14898586849250267,15.928074748344015,5.42709276759168,4
37,2.1,0,171.77325581395348,171.9430588235294,-0.08052267087987754,-0.18676316075981297,19.662651514205386,6.619235167013943,4
38,2.1,0,172.64645669291338,172.77122047244094,-0.20536431795562773,-1.2118157950818453,12.568724065986936,4.807836390782241,4
38,2.1,15,161.7507462686567,161.7759147869674,-0.11674752004173171,0.17582198052412618,15.334450605703012,5.317947640505857,4
39,2.1,15,164.22441860465116,164.21511627906978,0.022216670037419783,0.4896675289226313,15.441250604994345,4.006324336870711,4
39,2.1,30,175.10685714285714,175.17818965517242,-0.002078404115368398,-0.9429437427788735,18.08922200398236,5.553339719853775,4
40,2.1,30,174.09047619047618,175.0102380952381,-0.36723540255047477,-1.2020464546165457,15.376443965885121,6.163177529408109,4
40,2.1,60,173.2924882629108,173.27120283018868,0.01601348464250955,-2.3779459151503652,15.155777275253119,6.160246735674982,4
41,1.5,0,173.602752293578,173.70084485407068,-0.13877306039633322,-0.03610018440165639,14.43602418373181,5.0357464733874355,5
41,1.5,15,176.4431818181818,175.49372093023254,-0.12603919231592675,-0.09645850538079077,16.7546230722077,8.9719415787639,5
42,1.5,15,174.80823529411765,174.9495294117647,-0.022060401426447246,-0.05463047053008811,12.0666513080665,3.472514702217695,5
42,1.5,30,176.03478260869565,175.4458703703704,-0.0033818364906914034,-2.3102587473569174,18.03575468908825,6.226652577736378,5
43,1.5,30,176.72396694214873,176.89964187327823,-0.29771864545332566,-1.837193438555624,13.025385629565752,4.535052570270899,5
43,1.5,60,177.45886524822694,177.4102619047619,0.08992296403707087,0.10847850194034249,15.272954952754068,3.60015279269541,5
44,1.5,60,174.45066666666665,174.77706666666668,-0.38396287890068476,-0.7056173043899717,12.695598016990342,3.510871734104398,5
44,1.8,0,161.63689839572191,161.68585125448027,-0.2318567128287034,-1.183719237382049,16.433393650961776,7.859802821799967,5
45,1.8,0,162.73142857142858,162.90514285714286,0.08006098002831638,-0.9327798750681405,8.478650399977695,3.7419257164228896,5
45,1.8,15,165.46045454545455,165.44125570776256,-0.39435084909843915,-0.15260939813528637,12.463449018481228,4.6895255225304515,5
45,1.8,30,158.65714285714284,152.09722222222223,0.30599545329697814,0.695277582721946,23.43749539682494,11.551692596838425,5
46,1.8,30,175.62857142857143,175.6289523809524,-0.20454514902326917,-0.25440459991882813,13.240157230926616,3.9725666739002397,5
46,1.8,60,165.8,165.75568627450983,-0.05815278848699074,-0.29320066383981597,16.577068971512258,5.543487361825489,5
47,1.8,60,167.35029940119762,167.52814371257486,0.10994335229943296,0.05585972039230595,14.529475128172402,4.728098094760727,5
47,2.1,0,169.47684210526316,169.39225177304965,0.05447643486184979,0.11173217079035733,14.175821884173962,6.085656686529314,5
48,2.1,0,170.06370967741935,170.092688172043,-0.10559213558715713,0.01876090675493103,12.510128154883661,4.08469834332876,5
48,2.1,15,165.2427536231884,165.09332107843136,0.03557846252226472,-0.03533455460381535,14.720767829868766,5.5198786348869735,5
49,2.1,15,165.77283950617286,165.7530864197531,0.08243377701595718,-0.6142990311730067,14.077304539094824,4.9873707732570205,5
49,2.1,30,175.0867403314917,174.99775,-0.05305262826106806,-1.6989613490782633,17.34615682327798,6.173474865437111,5
50,2.1,30,170.73611111111111,172.07347222222222,-0.2816990013728222,-0.8727895079493069,18.07674358755356,6.306802882539318,5
50,2.1,60,174.31059907834103,174.36744598765432,0.08505188671713987,-1.5037595430284874,16.361017584450632,5.452657491352222,5
51,1.5,0,171.46972477064222,171.54758832565284,0.11342759021784275,-1.9085841543030921,15.871593060664916,4.752975323892787,6
51,1.5,15,168.4714285714286,168.48544715447156,-0.7007137237058461,-2.1775605023701,16.94097767954011,12.981923565012696,6
52,1.5,15,175.82542372881355,175.96847457627118,0.041869416577206726,-0.6356813876335891,15.787292716774322,3.577468385076916,6
52,1.5,30,175.6433734939759,175.58770325203253,-0.015916125606504215,-1.0129394305005979,16.80752729721436,5.822969297797252,6
53,1.5,30,176.20538461538462,176.40561538461537,-0.15212783703583144,-0.7328349814799776,15.069977914617139,4.04592435445005,6
53,1.5,60,175.03846153846155,174.96701550387596,0.2893695413222804,-0.2854594362485325,13.246081091457013,3.4903909368606345,6
54,1.5,60,176.3134831460674,176.3265168539326,-0.16915357683281512,-0.859796084695989,14.207401968142241,4.481883507553593,6
54,1.8,0,161.5187134502924,161.5561862745098,0.1556167327987044,0.10126227564208501,17.050530458706806,6.372921845954409,6
